split,instrument,topic,lag,m5_confirmed,m5_score,m5_pvalue,m5_n,m5_reason,m6_confirmed,m6_score,m6_pvalue,m6_n,m6_reason,confirmed,error,elapsed_s
train,MSCI_WORLD,ruble,90,False,-7.7e-05,0.606981,454,z_below_crit,False,0.075869,0.91,365,ic_below_min,False,,1.1
train,MSCI_WORLD,sanctions,1,False,3.3e-05,0.927942,454,z_below_crit,False,0.037515,0.755,454,ic_below_min,False,,0.91
train,MSCI_WORLD,sanctions,7,False,0.000605,0.118514,454,z_below_crit,False,0.01745,0.595,448,ic_below_min,False,,0.38
train,MSCI_WORLD,sanctions,14,False,0.00097,0.023643,454,z_below_crit,False,0.058422,0.13,441,bootstrap_ci_includes_zero,False,,0.52
train,MSCI_WORLD,sanctions,30,False,-0.000764,0.137131,454,z_below_crit,False,0.038065,0.78,425,ic_below_min,False,,0.43
train,MSCI_WORLD,sanctions,60,False,8.8e-05,0.638805,454,z_below_crit,False,0.058531,0.81,395,ic_below_min,False,,0.7
train,MSCI_WORLD,sanctions,90,False,-2e-05,0.787802,454,z_below_crit,False,0.015508,0.39,365,ic_below_min,False,,0.69
train,MSCI_WORLD,inflation,1,False,-2.6e-05,0.929298,454,z_below_crit,False,0.034008,0.25,454,bootstrap_ci_includes_zero,False,,0.22
train,MSCI_WORLD,inflation,7,False,-9.1e-05,0.81393,454,z_below_crit,False,0.051645,0.135,448,bootstrap_ci_includes_zero,False,,0.16
train,MSCI_WORLD,inflation,14,False,0.000164,0.722981,454,z_below_crit,False,0.000581,0.525,441,ic_below_min,False,,0.24
train,MSCI_WORLD,inflation,30,False,-0.000393,0.503807,454,z_below_crit,False,0.003125,0.52,425,ic_below_min,False,,0.27
train,MSCI_WORLD,inflation,60,False,-6.5e-05,0.824175,454,z_below_crit,False,0.017734,0.38,395,ic_below_min,False,,0.35
train,MSCI_WORLD,inflation,90,False,-3.8e-05,0.884965,454,z_below_crit,False,0.078334,0.11,365,bootstrap_ci_includes_zero,False,,0.84
